Song,Lyrics
Begin Again (Taylor's Version),"[Verse 1]
Took a deep breath in the mirror
He didn't like it when I wore high heels, but I do
Turn the lock and put my headphones on
He always said he didn't get this song, but I do, I do
[Verse 2]
I walked in, expectin' you'd be late
But you got here early and you stand and wave, I walk to you
You pull my chair out and help me in
And you don't know how nice that is, but I do
[Chorus]
And you throw your head back laughin' like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spendin' the last eight months
Thinkin' all love ever does is break and burn and end
But on a Wеdnesday in a café, I watched it begin again
[Verse 3]
You said you nеver met one girl who
Had as many James Taylor records as you, but I do
We tell stories and you don't know why
I'm comin' off a little shy, 
but I do
[Chorus]
But you throw your head back laughin' like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spendin' the last eight months
Thinkin' all love ever does is break and burn and end
But on a Wednesday in a café, I watched it begin again
[Bridge]
And we walked down the block to my car
And I almost brought him up
But you start to talk about the movies
That your family watches every single Christmas
And I wanna talk about that
And for the first time, what's past is past
[Chorus]
'Cause you throw your head back laughin' like a little kid
I think it's strange that you think I'm funny 'cause he never did
I've been spendin' the last eight months
Thinkin' all love ever does is break and burn and end
But on a Wednesday in a café, I watched it begin again
[Outro]
On a Wednesday in a café, I watched it begin again"
Bejeweled,"[Verse 1]
Baby love, I think I've been a little too kind
Didn't notice you walkin' all over my peace of mind
In the shoes I gave you as a present
Puttin' someone first only works when you're in their top five
And by the way, I'm goin' out tonight
[Chorus]
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer
And when I meet the band
They ask, ""Do you have a man?""
I could still say, 
""I don't remember""
Familiarity breeds contempt
Don't put mе in the basement
Whеn I want the penthouse of your heart
Diamonds in my eyes
I polish up real, I polish up real nice
[Post-Chorus]
Nice
[Verse 2]
Baby boy, I think I've been too good of a girl (Too good of a girl)
Did all the extra credit, then got graded on a curve
I think it's time to teach some lessons
I made you my world (Huh), have you heard? (Huh)
I can reclaim the land
And I miss you (Miss you), but I miss sparklin' (Nice)
[Chorus]
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer
And when I meet the band
They ask, ""Do you have a man?""
I could still say, ""I don't remember""
Familiarity breeds contempt
Don't put me in the basement
When I want the penthouse of your heart
Diamonds in my eyes
I polish up real, I polish up real nice
[Post-Chorus]
Nice
[Bridge]
Sapphire tears on my face
Sadness became my whole sky
But some guy said my aura's moonstone
Just 'cause he was high
And we're dancin' all night
And you can try to change my mind
But you might have to wait in line
What's a girl gonna do?
A diamond's gotta shine
[Chorus]
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer (Shimmer)
And when I meet the band
They ask, ""Do you have a man?""
I could still say, ""I don't remember""
Familiarity breeds contempt
Don't put me in the basement
When I want the penthouse of your heart
Diamonds in my eyes
I polish up real (Nice), I polish up real nice
[Outro]
And we're dancin' all night
And you can try to change my mind
But you might have to wait in line
What's a girl gonna do? What's a girl gonna do?
I polish up nice
Best believe I'm still bejeweled
When I walk in the room
I can still make the whole place shimmer"
Better Man (Taylor's Version) (From The Vault),"[Verse 1]
I know I'm probably better off on my own
Than lovin’ a man who didn't know what he had when he had it
And I see the permanent damage you did to me
Never again, I just wish I could forget when it was magic
[Pre-Chorus]
I wish it wasn't 4AM, standin’ in the mirror
Saying to myself, ""You know you had to do it""
I know the bravest thing I ever did was run
[Chorus]
Sometimes, in the middle of the night, I can feel you again
But I just miss you and I just wish you were a better man
I know why we had to say goodbye like the back of my hand
But I just miss you and I just wish you were a better man
A better man
[Verse 2]
I know I'm probably better off all alone
Than needing a man who could change his mind at any given minute
And it was always on your terms, I waited on every careless word
Hoping they might turn sweet again like it was in the beginning
[Pre-Chorus]
But your jealousy, oh, I can hear it now
Talking down to me like I'd always be around
Push my love away like it was some kind of loaded gun
Oh, you never thought I'd run
[Chorus]
Sometimes, in the middle of the night, I can feel you again
But I just miss you and I just wish you were a better man
I know why we had to say goodbye like the back of my hand
But I just miss you and I just wish you were a better man
A better man
[Bridge]
I hold onto this pride because, these days, it's all I have
And I gave to you my best
And we both know you can't say that
[Breakdown]
I wish you were a better man
I wonder what we would've become if you were a better man
We might still be in love if you were a better man
You would've been the one if you were a better man
[Chorus]
Sometimes, in the middle of the night, I can feel you again
But I just miss you and I just wish you were a better man
I know why we had to say goodbye like the back of my hand
But I just miss you and I just wish you were a better man
A better man
(Sometimes, in the middle of the night, I can feel you again)
We might still be in love, if you were a better man
(But I just miss you and I just wish you were a better man)
I know why we had to say goodbye like the back of my hand
But I just miss you and I just wish you were a better man
A better man
[Outro]
We might still be in love if you were a better man
You would’ve been the one if you were a better man"
Better Than Revenge (Taylor's Version),"[Intro]
Now go stand in the corner and think about what you did (Ha)
Haha, time for a little revenge
[Verse 1]
The story starts when it was hot and it was summer, and
I had it all, I had him right there where I wanted him
She came along, got him alone, and let's hear the applause
She took him faster than you can say ""Sabotage""
I never saw it coming, wouldn't have suspected it
I underestimated just who I was dealing with (Oh)
She had to know the pain was beating on me like a drum
She underestimated just who she was stealin' from
[Chorus]
She's not a saint and she's not what you think
She's an actress, woah
He was a moth to the flame
She was holding the matches, woah
Soon, she's gonna find stealing other people's toys
On the playground won't make you many friends
She should keep in mind, she should keep in mind
There is nothing I do better than revenge (Revenge), ha
[Verse 2]
She looks at life like it's a party and she's on the list
She looks at me like I'm a trend and she's so over it
I think her ever-present frown is a little troubling
, and
She thinks I'm psycho 'cause I like to rhyme her name with things
But sophistication isn't what you wear or who you know
Or pushing people down to get you where you wanna go
They didn't teach you that in prep school so it's up to me
That no amount of vintage dresses gives you dignity
(Think about what you did)
[Chorus]
She's not a saint and she's not what you think
She's an actress, woah
He was a moth to the flame
She was holding the matches, woah
Soon, she's gonna find stealing other people's toys
On the playground won't make you many friends
She should keep in mind, she should keep in mind
There is nothing I do better than revenge (Haha)
[Bridge]
I'm just another thing for you to roll your eyes at, honey
You might have him, but haven't you heard?
I'm just another thing for you to roll your eyes at, honey
You might have him, but I always get the last word
Woah (Come on, can you take it back? Come on)
[Chorus]
She's not a saint and she's not what you think (No)
She's an actress, woah (You know that you deserve this)
He was a moth to the flame
She was holding the matches, woah
Soon, she's gonna find stealing other people's toys
On the playground won't make you many friends
She should keep in mind, she should keep in mind
There is nothing I do better than revenge
[Outro]
(Come on) Do you still feel like you know what you're doin'?
'Cause I don't think you do, oh (No, no, no, no)
Do you still feel like you know what you're doing? (No)
I don't think you do, I don't think you do
Let's hear the applause (Come on, come on)
Come on, show me how much better you are (Oh, oh)
(So much better, yeah?)
So you deserve some applause
'Cause you're so much better
She took him faster than you could say ""Sabotage"""
Bigger Than The Whole Sky,"[Verse 1]
No words appear before me in the aftermath
Salt streams out my eyes and into my ears
Every single thing I touch becomes sick with sadness
'Cause it's all over now, all out to sea
[Chorus]
Goodbye, goodbye, goodbye
You were bigger than the whole sky
You were more than just a short time
And I've got a lot to pine about
I've got a lot to live without
I'm never gonna meet
What could've been, would've been
What should've been you
What could've been, would've been you
[Verse 2]
Did some bird flap its wings ovеr in Asia?
Did some force take you bеcause I didn't pray?
Every single thing to come has turned into ashes
'Cause it's all over, it's not meant to be
So I'll say words I don't believe
[Chorus]
Goodbye, goodbye, goodbye
You were bigger than the whole sky
You were more than just a short time
And I've got a lot to pine about
I've got a lot to live without
I'm never gonna meet
What could've been, would've been
What should've been you
[Bridge]
What could've been, would've been you
What could've been, would've been
What should've been you
What could've been, would've been you
(What could've been, would've been you)
[Chorus]
Goodbye, goodbye, goodbye
You were bigger than the whole sky
You were more than just a short time
And I've got a lot to pine about
I've got a lot to live without
I'm never gonna meet
What could've been, would've been
What should've been you"
Blank Space (Taylor's Version),"[Verse 1]
Nice to meet you, where you been?
I could show you incredible things
Magic, madness, heaven, sin
Saw you there and I thought
""Oh, my God, look at that face
You look like my next mistake
Love's a game, wanna play?"" Ayy
New money, suit and tie
I can read you like a magazine
Ain't it funny? Rumors fly
And I know you heard about me
So, hey, let's be friends
I'm dyin' to see how this one ends
Grab your passport and my hand
I can make the bad guys good for a weekend
[Chorus]
So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over, mm
If the high was worth thе pain
Got a long list of ex-lovers
They'll tеll you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless
We'll take this way too far
It'll leave you breathless, mm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name
[Verse 2]
Cherry lips, crystal skies
I could show you incredible things
Stolen kisses, pretty lies
You're the king, baby, I'm your queen
Find out what you want
Be that girl for a month
Wait, the worst is yet to come, oh, no
Screaming, crying, perfect storms
I can make all the tables turn
Rose garden filled with thorns
Keep you second guessin', like
""Oh, my God, who is she?""
I get drunk on jealousy
But you'll come back each time you leave
'Cause, darling, I'm a nightmare dressed like a daydream
[Chorus]
So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over, mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane
'Cause you know I love the players
And you love the game
'Cause we're young and we're reckless (Oh)
We'll take this way too far
It'll leave you breathless (Oh-oh), mm
Or with a nasty scar
Got a long list of ex-lovers
They'll tell you I'm insane (Insane)
But I've got a blank space, baby
And I'll write your name
[Bridge]
Boys only want love if it's torture
Don't say I didn't, say I didn't warn ya
Boys only want love if it's torture
Don't say I didn't, say I didn't warn ya
[Chorus]
So it's gonna be forever
Or it's gonna go down in flames?
You can tell me when it's over (Over), mm
If the high was worth the pain
Got a long list of ex-lovers
They'll tell you I'm insane (I'm insane)
'Cause you know I love the players
And you love the game (Love the game)
'Cause we're young and we're reckless (Yeah)
We'll take this way too far (Ooh)
It'll leave you breathless, mm
Or with a nasty scar (Or leave a nasty scar)
Got a long list of ex-lovers
They'll tell you I'm insane
But I've got a blank space, baby
And I'll write your name"
But Daddy I Love Him,"[Verse 1]
I forget how the West was won
I forget if this was ever fun
I just learned these people only raise you
To cage you
Sarahs and Hannahs in their Sunday best
Clutchin' their pearls, sighing, ""What a mess""
I just learned these people try and save you
'Cause they hate you
[Pre-Chorus]
Too high a horse
For a simple girl
To rise above it
They slammed the door
On my whole world
The one thing I wanted
[Chorus]
Now I'm runnin' with my dress unbuttoned
Scrеamin', ""But, Daddy, I love him""
I'm havin' his baby
No, I'm not, but you should see your faces
I'm tellin' him to floor it through thе fences
No, I'm not coming to my senses
I know he's crazy, but he's the one I want
[Verse 2]
Dutiful daughter, all my plans were laid
Tendrils tucked into a woven braid
Growin' up precocious sometimes means
Not growin' up at all
He was chaos, he was revelry
Bedroom eyes like a remedy
Soon enough, the elders had convened
Down at the city hall
[Pre-Chorus]
""Stay away from her""
The saboteurs
Protested too much
Lord knows the words
We never heard
Just screeching tires and true love
[Chorus]
And I'm runnin' with my dress unbuttoned
Screamin', ""But, Daddy, I love him""
I'm havin' his baby
No, I'm not, but you should see your faces
I'm tellin' him to floor it through the fences
No, I'm not coming to my senses
I know he's crazy, but he's the one I want
[Post-Chorus]
I'll tell you something right now
I'd rather burn my whole life down
Than listen to one more second of all this bitchin' and moanin'
I'll tell you something 'bout my good name
It's mine alone to disgrace
I don't cater to all these vipers dressed in empath's clothing
[Bridge]
God save the most judgmental creeps
Who say they want what's best for me
Sanctimoniously performing soliloquies I'll never see
Thinkin' it can change the beat
Of my heart when he touches me
And counteract the chemistry
And undo the destiny
You ain't gotta pray for me
Me and my wild boy and all of this wild joy
If all you want is gray for me
Then it's just white noise, and it's just my choice
[Verse 3]
There's a lot of people in town that I
Bestow upon my fakest smiles
Scandal does funny things to pride, but brings lovers closer
We came back when the heat died down
Went to my parents and they came around
All the wine moms are still holdin' out, but fuck 'em, it's over
[Chorus]
Now I'm dancin' in my dress in the sun and
Even my daddy just loves him
I'm his lady
And, oh my God, you should see your faces
Time, doesn't it give some perspective?
And, no, you can't come to the wedding
I know it's crazy, but he's the one I want
[Post-Chorus]
I'll tell you something right now
You ain't gotta pray for me
Me and my wild boy and all of this wild joy
(He was chaos, he was revelry)
If all you want is gray for me
Then it's just white noise, and it's my choice
[Outro]
Screamin', ""But, Daddy, I love him""
I'm having his baby
No, I'm not
But you should see your faces
But, oh my God, you should see your faces
(He was chaos, he was revelry)
(He was chaos, he was revelry)"
Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault),
Clara Bow,"[Verse 1]
""You look like Clara Bow
In this light, remarkable
All your life, did you know
You'd be picked like a rose?""
[Pre-Chorus]
""I'm not trying to exaggerate
But I think I might die if it happened
Die if it happened to me
No one in my small town
Thought I'd see the lights of Manhattan""
[Chorus]
""This town is fake, but you're the rea
l 
thing
Breath of fresh air through smoke rings
Take the glory, give everything
Promise to be dazzling""
[Verse 2]
""You look like Stevie Nicks
In '75, the hair and lips
Crowd goes wild at her fingertips
Half moonshine, a full еclipse""
[Pre-Chorus]
""I'm not trying to exaggeratе
But I think I might die if I made it, die if I made it
No one in my small town thought I'd meet these suits in L.A
.
They all wanna say...""
[Chorus]
""This town is fake, but you're the real thing
Breath of fresh air through smoke rings
Take the glory, give everything
Promise to be dazzling
The crown is stained, but you're the real queen
Flesh and blood amongst war machines
You're the new god we're worshipping
Promise to be dazzling""
[Bridge]
Beauty is a beast that roars down on all fours
Demanding more
Only when your girlish glow flickers just so
Do they let you know
It's hell on earth to be heavenly
Them's the breaks, they don't come gently
[Outro]
""You look like Taylor Swift
In this light, we're lovin' it
You've got edge, she never did
The future's bright, dazzling"""
Clean (Taylor's Version),"[Verse 1]
The drought was the very worst, ah-ah, ah-ah
When the flowers that we'd grown together died of thirst
It was months and months of back and forth, ah-ah, ah-ah
You're still all over me like a wine-stained dress I can't wear anymore
[Pre-Chorus]
Hung my head as I lost the war
And the sky turned black like a perfect storm
[Chorus]
The rain came pouring down
When I was drownin', that's when I could finally breathe
And by mornin', gone was any trace of you
I think I am finally clean
[Verse 2]
There was nothin' left to do, ah-ah, ah-ah
When the butterflies turnеd to dust that covered my whole room
So I punchеd a hole in the roof, ah-ah, ah-ah
Let the flood carry away all my pictures of you
[Pre-Chorus]
The water filled my lungs
I screamed so loud, but no one heard a thing
[Chorus]
The rain came pourin' down
When I was drownin', that's when I could finally breathe
And by mornin', gone was any trace of you
I think I am finally clean
[Post-Chorus]
I think I am finally clean
Ah-ah-ah-ah-ah
Said I think I am finally clean
Ah-ah-ah
[Bridge]
Ten months sober, I must admit
Just because you're clean, don't mean you don't miss it
Ten months older, I won't give in
Now that I'm clean, I'm never gonna risk it
[Break]
The drought was the very worst, ah-ah, ah-ah
When the flowers that we'd grown together died of thirst
[Chorus]
The rain came pourin' down
When I was drownin', that's when I could finally breathe
And by mornin', gone was any trace of you
I think I am finally clean
The rain came pourin' down
When I was drownin', that's when I could finally breathe
And by mornin', gone was any trace of you
I think I am finally clean
[Outro]
Finally clean
Think I'm finally clean
Ah-ah-ah-ah
Think I'm finally clean"
Come Back...Be Here (Taylor's Version),
Cornelia Street,"[Verse 1]
We were in the backseat
Drunk on something stronger than the drinks in the bar
""I rent a place on Cornelia Street""
I say casually in the car
We were a fresh page on the desk
Filling in the blanks as we go
As if the street lights pointed in an arrow head
Leading us home
[Chorus]
And I hope I never lose you, hope it never ends
I'd never walk Cornelia Street again
That's the kinda heartbreak time could never mend
I'd never walk Cornelia Street again
And baby, I get mystified by how this city screams your name
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again
[Verse 2]
Windows flung right open, autumn air
Jacket 'round my shoulders is yours
We bless the rains on Cornelia Street
Memorize the creaks in the floor
Back when we were card sharks, playing games
I thought you were leading me on
I packed my bags, left Cornelia Street
Before you even knew I was gone
[Pre-Chorus]
But then you called, showed your hand
I turned around before I hit the tunnel
Sat on the roof, you and I
[Chorus]
I hope I never lose you, hope it never ends
I'd never walk Cornelia Street again
That's the kinda heartbreak time could never mend
I'd never walk Cornelia Street again
And baby, I get mystified by how this city screams your name (City screams your name)
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again
[Bridge]
You hold my hand on the street
Walk me back to that apartment
Years ago, we were just inside
Barefoot in the kitchen
Sacred new beginnings
That became my religion, listen
[Chorus]
I hope I never lose you
I'd never walk Cornelia Street again
Oh, never again
And baby, I get mystified by how this city screams your name (City screams your name)
And baby, I'm so terrified of if you ever walk away
I'd never walk Cornelia Street again
I'd never walk Cornelia Street again
[Post-Chorus]
I don't wanna lose you (Hope it never ends)
I'd never walk Cornelia Street again
I don't wanna lose you (Yeah)
[Outro]
""I rent a place on Cornelia Street""
I say casually in the car"
Cruel Summer,"[Intro]
(
Yeah, yeah, yeah, yeah
)
[Verse 1]
Fever dream high in the quiet of the night
You know that I caught it (
Oh yeah, you're right, I want it
)
Bad, bad boy, shiny toy with a price
You know that I bought it (
Oh yeah, you're right, I want it
)
[Pre-Chorus]
Killing me slow, out the window
I'm always waiting for you to be waiting below
Devils roll the dice, angels roll their eyes
What doesn't kill me makes me want you more
[Chorus]
And it's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you
[Verse 2]
Hang your head low in the glow of the vending machine
I'm not dying (
Oh yeah, you're right, I want it
)
We say that we'll just screw it up in these trying times
We're not trying (
Oh yeah, you're right, I want it
)
[Pre-Chorus]
So cut the headlights, summer's a knife
I'm always waiting for you just to cut to the bone
Devils roll the dice, angels roll their eyes
And if I bleed, you'll be the last to know, oh
[Chorus]
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you
[Bridge]
I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
He looks up, grinnin' like a devil
[Chorus]
It's new, the shape of your body
It's blue, the feeling I've got
And it's ooh, woah-oh
It's a cruel summer
It's cool, that's what I tell 'em
No rules in breakable heaven
But ooh, woah-oh
It's a cruel summer with you
[Outro]
I'm drunk in the back of the car
And I cried like a baby comin' home from the bar (Oh)
Said, ""I'm fine,"" but it wasn't true
I don't wanna keep secrets just to keep you
And I snuck in through the garden gate
Every night that summer just to seal my fate (Oh)
And I scream, ""For whatever it's worth
I love you, ain't that the worst thing you ever heard?""
(
Yeah, yeah, yeah, yeah
)"
